filename,fuel_type,expected,predicted,correct,cer
stele_71.jpg,price_92,56.93,48А,0.0,1.0
stele_71.jpg,price_95,63.0,48А,0.0,1.0
stele_71.jpg,price_98,68.73,48А,0.0,0.8
stele_71.jpg,price_DT,71.6,48А,0.0,1.0
stele_72.jpg,price_92,56.9,,0.0,1.0
stele_72.jpg,price_95,60.9,,0.0,1.0
stele_72.jpg,price_DT,69.5,,0.0,1.0
stele_73.jpg,price_92,28.2,,0.0,1.0
stele_73.jpg,price_95,29.9,,0.0,1.0
stele_73.jpg,price_DT,25.9,,0.0,1.0
stele_74.jpg,price_92,41.0,,0.0,1.0
stele_74.jpg,price_95,43.6,,0.0,1.0
stele_74.jpg,price_98,48.5,,0.0,1.0
stele_74.jpg,price_DT,41.0,,0.0,1.0
stele_75.jpg,price_92,23.54,"₽8 23u %5, 95 ШЙ %Шв 2 415 ji5 QОE IA KA@E@ ОМЕГА ЁЧВЗ",0.0,10.0
stele_75.jpg,price_95,12.78,"₽8 23u %5, 95 ШЙ %Шв 2 415 ji5 QОE IA KA@E@ ОМЕГА ЁЧВЗ",0.0,10.6
stele_75.jpg,price_98,23.78,"₽8 23u %5, 95 ШЙ %Шв 2 415 ji5 QОE IA KA@E@ ОМЕГА ЁЧВЗ",0.0,10.4
stele_75.jpg,price_DT,65.56,"₽8 23u %5, 95 ШЙ %Шв 2 415 ji5 QОE IA KA@E@ ОМЕГА ЁЧВЗ",0.0,10.4
stele_76.jpg,price_92,20.5,"53{t 'u'{  ` 82лU 8UgU ""BE5 дп   1752 127",0.0,9.75
stele_76.jpg,price_95,22.0,"53{t 'u'{  ` 82лU 8UgU ""BE5 дп   1752 127",0.0,9.75
stele_76.jpg,price_DT,17.52,"53{t 'u'{  ` 82лU 8UgU ""BE5 дп   1752 127",0.0,7.6
stele_77.jpg,price_92,23.0,,0.0,1.0
stele_77.jpg,price_95,24.0,,0.0,1.0
stele_77.jpg,price_DT,24.0,,0.0,1.0
stele_78.jpg,price_92,27.6,Pk UгE,0.0,1.5
stele_78.jpg,price_DT,33.0,Pk UгE,0.0,1.5
stele_79.jpg,price_92,27.1,JEUU 3JU E9ш 21m EBJD,0.0,5.0
stele_79.jpg,price_95,29.0,JEUU 3JU E9ш 21m EBJD,0.0,5.0
stele_79.jpg,price_98,32.0,JEUU 3JU E9ш 21m EBJD,0.0,4.75
stele_79.jpg,price_DT,28.3,JEUU 3JU E9ш 21m EBJD,0.0,5.0
stele_80.jpg,price_92,31.9,ню еэаз еэв зы 51,0.0,4.25
stele_80.jpg,price_95,34.8,ню еэаз еэв зы 51,0.0,4.25
stele_80.jpg,price_DT,34.9,ню еэаз еэв зы 51,0.0,4.25
stele_81.jpg,price_92,40.7,"2 '5 , 3 i .",0.0,3.0
stele_81.jpg,price_95,44.3,"2 '5 , 3 i .",0.0,2.75
stele_81.jpg,price_98,48.0,"2 '5 , 3 i .",0.0,3.0
stele_81.jpg,price_DT,43.5,"2 '5 , 3 i .",0.0,2.75
stele_82.jpg,price_92,21.0,~i 6s 92 1 'il y } 'u,0.0,4.75
stele_82.jpg,price_DT,16.0,~i 6s 92 1 'il y } 'u,0.0,5.0
stele_83.jpg,price_92,29.0,AUUz Eg51 Б I IEШ ЕgШП JJЫ Е--9 тшнгать,0.0,9.5
stele_83.jpg,price_95,32.6,AUUz Eg51 Б I IEШ ЕgШП JJЫ Е--9 тшнгать,0.0,9.75
stele_83.jpg,price_98,34.1,AUUz Eg51 Б I IEШ ЕgШП JJЫ Е--9 тшнгать,0.0,9.5
stele_83.jpg,price_DT,33.6,AUUz Eg51 Б I IEШ ЕgШП JJЫ Е--9 тшнгать,0.0,9.75
stele_84.jpg,price_92,27.5,лукойл,0.0,1.5
stele_84.jpg,price_95,29.5,лукойл,0.0,1.5
stele_84.jpg,price_DT,29.0,лукойл,0.0,1.5
stele_85.jpg,price_92,25.9,TAXIOIL ESOQuall HHHR aFЯD 6537 поЧD ЕЧ 5П зраъг,0.0,11.75
stele_85.jpg,price_95,26.9,TAXIOIL ESOQuall HHHR aFЯD 6537 поЧD ЕЧ 5П зраъг,0.0,11.75
stele_85.jpg,price_98,27.7,TAXIOIL ESOQuall HHHR aFЯD 6537 поЧD ЕЧ 5П зраъг,0.0,11.75
stele_85.jpg,price_DT,24.5,TAXIOIL ESOQuall HHHR aFЯD 6537 поЧD ЕЧ 5П зраъг,0.0,11.75
